in:0 out:0 type:1 q:480 itex:111595 ptex:0 mv:0 misc:3553 fcode:1 bcode:1 mc-var:0 var:419036 icount:540;
in:1 out:1 type:2 q:327 itex:490 ptex:6159 mv:481 misc:2158 fcode:1 bcode:1 mc-var:444811 var:419036 icount:30;
in:2 out:2 type:2 q:255 itex:510 ptex:37472 mv:601 misc:2953 fcode:1 bcode:1 mc-var:443320 var:419036 icount:30;
in:3 out:3 type:2 q:242 itex:386 ptex:4297 mv:401 misc:1788 fcode:1 bcode:1 mc-var:930 var:391363 icount:16;
in:4 out:4 type:2 q:239 itex:386 ptex:729 mv:92 misc:921 fcode:1 bcode:1 mc-var:910 var:391363 icount:16;
in:5 out:5 type:2 q:237 itex:386 ptex:102 mv:18 misc:734 fcode:1 bcode:1 mc-var:908 var:391364 icount:16;
in:6 out:6 type:2 q:237 itex:386 ptex:18 mv:2 misc:690 fcode:1 bcode:1 mc-var:908 var:391364 icount:16;
in:7 out:7 type:2 q:236 itex:386 ptex:0 mv:0 misc:686 fcode:1 bcode:1 mc-var:908 var:391364 icount:16;
in:8 out:8 type:2 q:236 itex:386 ptex:0 mv:0 misc:686 fcode:1 bcode:1 mc-var:908 var:391364 icount:16;
in:9 out:9 type:2 q:236 itex:386 ptex:0 mv:0 misc:686 fcode:1 bcode:1 mc-var:908 var:391364 icount:16;
in:10 out:10 type:2 q:237 itex:618894 ptex:51091 mv:223 misc:3264 fcode:1 bcode:1 mc-var:2380180 var:1404709 icount:344;
in:11 out:11 type:2 q:238 itex:1480 ptex:7547 mv:152 misc:981 fcode:1 bcode:1 mc-var:28259 var:1404709 icount:17;
in:12 out:12 type:2 q:238 itex:1774 ptex:586 mv:30 misc:778 fcode:1 bcode:1 mc-var:2726 var:1404709 icount:19;
in:13 out:13 type:2 q:238 itex:1452 ptex:401 mv:23 misc:708 fcode:1 bcode:1 mc-var:8771 var:1405954 icount:17;
in:14 out:14 type:2 q:237 itex:1720 ptex:38 mv:5 misc:701 fcode:1 bcode:1 mc-var:2606 var:1406101 icount:18;
in:15 out:15 type:2 q:237 itex:1720 ptex:62 mv:8 misc:706 fcode:1 bcode:1 mc-var:2584 var:1406108 icount:18;
in:16 out:16 type:2 q:237 itex:1720 ptex:38 mv:5 misc:701 fcode:1 bcode:1 mc-var:2605 var:1406092 icount:18;
in:17 out:17 type:2 q:237 itex:1720 ptex:60 mv:17 misc:707 fcode:1 bcode:1 mc-var:2605 var:1406108 icount:18;
in:18 out:18 type:2 q:237 itex:1720 ptex:62 mv:6 misc:700 fcode:1 bcode:1 mc-var:2575 var:1406107 icount:18;
in:19 out:19 type:2 q:237 itex:1720 ptex:56 mv:6 misc:706 fcode:1 bcode:1 mc-var:2604 var:1406108 icount:18;
in:20 out:20 type:2 q:238 itex:172218 ptex:157179 mv:873 misc:4074 fcode:1 bcode:1 mc-var:1499993 var:729486 icount:303;
in:21 out:21 type:2 q:239 itex:1137 ptex:6352 mv:212 misc:1219 fcode:1 bcode:1 mc-var:17278 var:729486 icount:15;
in:22 out:22 type:2 q:238 itex:1135 ptex:1023 mv:80 misc:842 fcode:1 bcode:1 mc-var:10052 var:729486 icount:15;
in:23 out:23 type:2 q:238 itex:985 ptex:688 mv:44 misc:731 fcode:1 bcode:1 mc-var:5725 var:728604 icount:14;
in:24 out:24 type:2 q:237 itex:1535 ptex:138 mv:11 misc:732 fcode:1 bcode:1 mc-var:1682 var:728570 icount:17;
in:25 out:25 type:2 q:237 itex:985 ptex:646 mv:39 misc:714 fcode:1 bcode:1 mc-var:5702 var:728584 icount:14;
in:26 out:26 type:2 q:237 itex:1474 ptex:139 mv:15 misc:724 fcode:1 bcode:1 mc-var:1679 var:728608 icount:16;
in:27 out:27 type:2 q:237 itex:985 ptex:657 mv:38 misc:712 fcode:1 bcode:1 mc-var:5750 var:728604 icount:14;
in:28 out:28 type:2 q:237 itex:1175 ptex:276 mv:27 misc:714 fcode:1 bcode:1 mc-var:2803 var:728608 icount:14;
